,mean,std
temperature_2m (°C),14.145747804766792,8.319568972488021
relative_humidity_2m (%),60.8268331622762,22.899815885893336
rain (mm),0.07168434257041852,0.3781059224365287
surface_pressure (hPa),917.9709217128521,5.864107339465207
wind_speed_10m (km/h),9.74882113125784,5.876306353335242
wind_direction_10m (°),227.85135135135135,110.93617044891242
hour_sin,-1.810490278496948e-17,0.7071118210595448
hour_cos,-5.551115123125783e-17,0.7071118210595448
dow_sin,0.00033353674723974176,0.7071535934165972
dow_cos,0.0006925961921864856,0.7070696283519778
pontevedra_temperature_2m (°C),15.007398221005817,5.7296737590424565
pontevedra_relative_humidity_2m (%),78.41080795985859,14.302240712512948
pontevedra_rain (mm),0.2635092370851865,0.8494982431577377
pontevedra_surface_pressure (hPa),1004.8167707264225,6.924213441396541
pontevedra_wind_speed_10m (km/h),10.016812065229788,5.9473782750887985
pontevedra_wind_direction_10m (°),161.22270213251227,99.28941026033249
pontevedra_hour_sin,-1.810490278496948e-17,0.7071118210595448
pontevedra_hour_cos,-5.551115123125783e-17,0.7071118210595448
pontevedra_dow_sin,0.00033353674723974176,0.7071535934165972
pontevedra_dow_cos,0.0006925961921864856,0.7070696283519778
salamanca_temperature_2m (°C),13.361232751739081,8.438320732415022
salamanca_relative_humidity_2m (%),65.22981525829627,24.47074099133216
salamanca_rain (mm),0.05008980499486829,0.2841751309358853
salamanca_surface_pressure (hPa),928.1997833276314,5.99080186732429
salamanca_wind_speed_10m (km/h),11.364601151784695,6.131980785310558
salamanca_wind_direction_10m (°),179.84915611814347,98.02676307896778
salamanca_hour_sin,-1.810490278496948e-17,0.7071118210595448
salamanca_hour_cos,-5.551115123125783e-17,0.7071118210595448
salamanca_dow_sin,0.00033353674723974176,0.7071535934165972
salamanca_dow_cos,0.0006925961921864856,0.7070696283519778
huelva_temperature_2m (°C),18.588075892348044,7.120793970340032
huelva_relative_humidity_2m (%),66.5608250655719,21.51152510263685
huelva_rain (mm),0.05056163758695404,0.3641724867984601
huelva_surface_pressure (hPa),1015.9038088721633,5.755638785718541
huelva_wind_speed_10m (km/h),10.688658912076635,5.511482060752984
huelva_wind_direction_10m (°),211.0283669745695,104.81315403840902
huelva_hour_sin,-1.810490278496948e-17,0.7071118210595448
huelva_hour_cos,-5.551115123125783e-17,0.7071118210595448
huelva_dow_sin,0.00033353674723974176,0.7071535934165972
huelva_dow_cos,0.0006925961921864856,0.7070696283519778
ciudadreal_temperature_2m (°C),16.023242387957577,9.382020392357951
ciudadreal_relative_humidity_2m (%),57.13409453757555,26.62896200660247
ciudadreal_rain (mm),0.045648021439160684,0.286874400237244
ciudadreal_surface_pressure (hPa),945.3883581366176,5.426942384121542
ciudadreal_wind_speed_10m (km/h),10.217047268787773,5.979205176628078
ciudadreal_wind_direction_10m (°),183.36706009807276,99.19938349692045
ciudadreal_hour_sin,-1.810490278496948e-17,0.7071118210595448
ciudadreal_hour_cos,-5.551115123125783e-17,0.7071118210595448
ciudadreal_dow_sin,0.00033353674723974176,0.7071535934165972
ciudadreal_dow_cos,0.0006925961921864856,0.7070696283519778
valencia_temperature_2m (°C),17.907513684570645,7.179048822288094
valencia_relative_humidity_2m (%),64.64663872733493,20.412550768321605
valencia_rain (mm),0.05609961227049833,0.4247568514557635
valencia_surface_pressure (hPa),1010.7827346333677,6.549500633578316
valencia_wind_speed_10m (km/h),9.609802999201733,5.739817092579495
valencia_wind_direction_10m (°),210.7185682517961,101.55859114185728
valencia_hour_sin,-1.810490278496948e-17,0.7071118210595448
valencia_hour_cos,-5.551115123125783e-17,0.7071118210595448
valencia_dow_sin,0.00033353674723974176,0.7071535934165972
valencia_dow_cos,0.0006925961921864856,0.7070696283519778
almeria_temperature_2m (°C),19.70047610902041,6.403033477081441
almeria_relative_humidity_2m (%),63.27641407230015,17.809952554206756
almeria_rain (mm),0.02824295814802144,0.24849455429349948
almeria_surface_pressure (hPa),1015.3368542593226,6.011758869140387
almeria_wind_speed_10m (km/h),11.449529592884023,7.225983831467881
almeria_wind_direction_10m (°),156.6548352149618,113.84033726478708
almeria_hour_sin,-1.810490278496948e-17,0.7071118210595448
almeria_hour_cos,-5.551115123125783e-17,0.7071118210595448
almeria_dow_sin,0.00033353674723974176,0.7071535934165972
almeria_dow_cos,0.0006925961921864856,0.7070696283519778
creus_temperature_2m (°C),16.498209602007073,6.603060992061544
creus_relative_humidity_2m (%),68.06423195347246,17.247451946972493
creus_rain (mm),0.0605513741589691,0.37113899025595143
creus_surface_pressure (hPa),1009.3551445432773,6.95719462880151
creus_wind_speed_10m (km/h),14.733672596647281,10.278634511279224
creus_wind_direction_10m (°),213.58953415440757,118.6601625456666
creus_hour_sin,-1.810490278496948e-17,0.7071118210595448
creus_hour_cos,-5.551115123125783e-17,0.7071118210595448
creus_dow_sin,0.00033353674723974176,0.7071535934165972
creus_dow_cos,0.0006925961921864856,0.7070696283519778
santander_temperature_2m (°C),14.864883396054282,4.790463012708369
santander_relative_humidity_2m (%),79.26020640894059,12.165350581081091
santander_rain (mm),0.14798865321017218,0.4722562753804919
santander_surface_pressure (hPa),1014.2295529706923,7.880168395260594
santander_wind_speed_10m (km/h),13.072458376097616,8.315463315307822
santander_wind_direction_10m (°),191.99539571216786,96.84217072875754
santander_hour_sin,-1.810490278496948e-17,0.7071118210595448
santander_hour_cos,-5.551115123125783e-17,0.7071118210595448
santander_dow_sin,0.00033353674723974176,0.7071535934165972
santander_dow_cos,0.0006925961921864856,0.7070696283519778
guadalajara_temperature_2m (°C),14.546402098300831,8.925641093007602
guadalajara_relative_humidity_2m (%),60.41321701448284,24.47603118321201
guadalajara_rain (mm),0.0577645683658342,0.32559709120937314
guadalajara_surface_pressure (hPa),934.531538658912,5.827524180213302
guadalajara_wind_speed_10m (km/h),9.419651613638957,5.558181213499146
guadalajara_wind_direction_10m (°),156.88902668491275,98.10097226532037
guadalajara_hour_sin,-1.810490278496948e-17,0.7071118210595448
guadalajara_hour_cos,-5.551115123125783e-17,0.7071118210595448
guadalajara_dow_sin,0.00033353674723974176,0.7071535934165972
guadalajara_dow_cos,0.0006925961921864856,0.7070696283519778
burgos_temperature_2m (°C),11.580074694948113,7.574659401288089
burgos_relative_humidity_2m (%),72.44767077203787,21.773472457450055
burgos_rain (mm),0.06575578743300262,0.30021363265279977
burgos_surface_pressure (hPa),916.617403637815,6.45048856697038
burgos_wind_speed_10m (km/h),16.69253478161706,7.6673284262894486
burgos_wind_direction_10m (°),139.96691469950963,92.84410436118182
burgos_hour_sin,-1.810490278496948e-17,0.7071118210595448
burgos_hour_cos,-5.551115123125783e-17,0.7071118210595448
burgos_dow_sin,0.00033353674723974176,0.7071535934165972
burgos_dow_cos,0.0006925961921864856,0.7070696283519778
